index,clues,difficulty,id,puzzle,solution
0,25,2.6,3,..5...74.3..6...19.....1..5...7...2.9....58..7..84......3.9...2.9.4.....8.....1.3,215983746387654219469271385538716924941325867726849531653198472192437658874562193
1,25,3.7,8,38.1.........5.6.....9....3.4.........5.18.......9.561.6..2478.8.......6..4.8..2.,386172954419853672527946813741365298695218437238497561163524789852739146974681325
2,24,3.3,15,.7.16....4....7........8..2..9...2.52..9..1.....5.36..6..2..8..91......3..7.....6,375162984482397561196458372869714235253986147741523698634271859918645723527839416
3,27,3.3,16,9.4.728.....8.36..8..9.....6.9....1..83..7.....7.....22...385.....729..6...6.....,964572831172843659835961274629485713483217965517396482246138597358729146791654328
4,25,2.7,19,...6..8....35.4...65..217...6..............5..7138..2...7.1.6.4.1.......9....3..7,742639815183574269659821743365192478298746351471385926537218694814967532926453187
5,23,3.3,20,....3.76.5....91.29.........49..53.......327...52..........75.4..1.4.....6.......,124538769583679142976124853249715386618493275735286491392867514851942637467351928
6,26,3.9,22,.5.....43.1.....82.84..7.1..71.9....4.........23.1..6.8..1...26...7.4......9.2...,759821643316549782284637915571296834468375291923418567897153426632784159145962378
7,24,2.6,25,..3..9........23......5..876.......53.94.....4....523...7.13.....6..8.9...12.....,163789524785642319924351687612837945359426178478195236547913862236578491891264753
8,25,2.8,28,.....8...2.3...4.6..54.37....4...6...9.8.....5..9.4..27..589..34..2...7..........,947658321283791456615423789824135697396872514571964832762589143438216975159347268
9,26,2.8,30,2...7..4.1.93........8..2..56...78.17.........9.26..3...573...46...1..98.........,286571943159324786374896215563947821742183659891265437925738164637412598418659372
10,25,3.4,32,.4...8.....6.2......57....8.52..7...1..35....4....27...7.9...64.......1....431..2,743198625816523497925764138352647981187359246469812753271985364534276819698431572
11,24,3.8,41,5.7.....8..6.4...7.937........3.7.5..3..2......2..18.........1.1..4...9.9.4..3...,517932468286145937493768521641387259839524176752691843325879614178456392964213785
12,24,3.1,43,.6.5...7.8.5..3..2.2......57...8..9..8..6...4...4..3.........3....7.56....3.98...,169524873845973162327816945734182596581369724296457318958641237412735689673298451
13,23,2.7,46,....2639..........2.83.....7.9....8.35...9.1....2....6....516..4.......7......53.,547126398631598472298374165769415283352689714184237956823751649415963827976842531
14,26,2.5,48,......6.....4...97...7.18.247..18......2....639...4.1..5....1..7...5......48.9.6.,247985631813462597965731842472618953581293476396574218658347129729156384134829765
15,25,2.4,54,.........68.....49....7...51.8..6...3679..8.....7......4.82..377.5.1..9........2.,572469381681532749439178265198256473367941852254783916946825137725314698813697524
16,26,2.2,61,.6497....5....1...9...4.5......32......7..42...8.1..5.735.....969..8..7.......6..,164975382583261794927348516459832167316759428278614953735126849691483275842597631
17,24,3.4,63,9..6....5........1.31.4.7......586.7..2.1..4.......9..4....5.8..5.1.9.....9.7....,947681325285793461631542798394258617562917843718436952476325189853169274129874536
18,27,3.5,66,6...7.....173.6...4.........9.2.35.....7.4.82.2..9....9...17..32.....7.1....3..65,632479158517386249489125376894263517361754982725891634946517823253648791178932465
19,25,2.1,67,6..1..2....1.9......8...6..27.6.........47..6...95.8..15..3.4...6...9....3....5.7,643175298521896743798423651274681935985347126316952874152738469467519382839264517
20,23,2.7,72,.32......64...1..9..589.......7.3.......4..63..9.6..8.......63........97..7..5...,932457816648321579715896324486713952251948763379562481824179635563284197197635248
21,24,4.3,73,...4..56..1.5.6.9.....973....9.2..4.6....5......37....5.2.......63.........96.8..,297431568314586297856297314139628745678145923425379186582714639963852471741963852
22,25,2.2,81,.....2.8..4.15.........63.5.3...91..7.4.3...9....41.2......7...8...1..3.1.....67.,351972486648153297297486315532769148714238569986541723469327851875614932123895674
23,25,4.7,94,..24..83.....7....5.83..7.98.........23...15.49..2......7.1.......2.5..6..4...2..,672459831139872645548361729816537492723694158495128367267913584381245976954786213
24,24,2.7,98,8.1....9..4..3.2..7.....158...........4..9...5..17.93....4.6....5.........791..8.,861725493945831267732694158193548672274369815586172934318456729659287341427913586
25,23,3.5,100,....9....46.....7...9...51...53...4...3.2.8..8............819.7..16....223.......,158793624462815379379462518695378241713924865824156793546281937981637452237549186
26,27,4.6,101,.4......39..7...4.3.6...2.......9.67....2..54..5.1.9.2..81.2....2..45..9.53......,541286793982731546376594218234859167719623854865417932498162375127345689653978421
27,24,2.6,113,6.12.......89..7.....83..5.1....45...83.....74......8..29.1.........7.92.1.......,631275948258946713974831256162784539583169427497523681729418365846357192315692874
28,23,2.5,119,..6.........3..8...2...1.4.....6.5....9.4...3.....9.7...31.54...1.9....8..52...6.,176458932594327816328691745741863529659742183832519674263185497417936258985274361
29,24,2.3,122,....13.......6..2...69....8.4....7..39....8...5.....16..9.7.1...8.53...4..56.....,924813567873465921516927438641382795397156842258794316469278153182539674735641289
30,24,3.0,124,471...8............2.1.9.4....5..698....8..7......2...7...9....6.8.7..51..4...3..,471625839953748126826139745342517698169483572587962413715396284638274951294851367
31,25,2.3,126,....7.24...95.......2.....597..524...6.3.....82.6...7..1..38.6..........6..1..7..,156973248489526317732481695971852436564397182823614579215738964347269851698145723
32,25,2.4,128,....9..54.3...4.8....72...3..3...6.9..........72.....51....8......2.1..8.4695..1.,761893254235614987984725163413582679598376421672149835127438596359261748846957312
33,22,3.8,129,.6..7....3.5..2..4..1.....2....41.6.7....9.........8.....5.7.49.96...1.......3...,962174358375892614481356972859241763713689425624735891138567249596428137247913586
34,25,3.2,135,....3.5..........7...791.2.1.....6.88....39...9.5..24...9.46.8..1..........2..49.,471832569928465137563791824135924678842673915697518243759146382214389756386257491
35,25,3.3,143,...9.1..69...56...1.6.7.5...7.8..3..82.....5...1..5......7.418.63....2...........,752941836983256417146378592579812364824637951361495728295764183637189245418523679
36,25,2.4,148,..2.54.3....6135...7..8......1......43....7.....9.68.3.568.....81......6.....2...,162754938984613527375289641691378452438521769527946813256837194813495276749162385
37,25,2.5,152,......6...3....4.8....87...4.21...6..759468...8.2.....2........5....97.3....5...4,827394651936521478154687239492178365375946812681235947249713586518469723763852194
38,24,2.2,153,.28.....3.....9...6...5178....6.......63.4.5.3.1...8.....9...2..9.4.7.......6.3..,928746513517839642634251789759618234286374951341592876165983427893427165472165398
39,24,2.4,161,23.....5.75.....6.....6...81....869......9..1.......7.8.19.72.....4......6...15..,236874159758192463419563728172348695685729341394615872841957236523486917967231584
40,26,2.1,162,...9.8.....8.2175..1..3.4...4.3....7.........1.98..3..6...1......7..9...83...596.,354978216968421753712536498546392187283157649179864325695213874427689531831745962
41,25,3.1,171,8...7.........65.8..13.......46.1..59...5...7...2..3...75.4.8...1.....53...12....,842579631397416528561382749784631295923854167156297384675943812219768453438125976
42,23,4.8,178,.3...2..1.......6.624..3...3..7..8..2.....3....12.4..7...51....4.......5..9....7.,935862741178495263624173598346751829257986314891234657782519436413627985569348172
43,24,2.8,180,2............81..5..623..914...1..7..5.978.2..2......89.........1.65.7...........,281596437394781265576234891468312579153978624729465318947823156812659743635147982
44,22,2.4,182,9..6.............8.7.4....53.2..6...4517............2......1..9....3.76.218......,934685172125379648876412935392856417451723896687194523763541289549238761218967354
45,23,2.6,186,3.7..6..4..4.5...9......1..21.3.95.....71.......6.....7.....6....3...2.8..6....3.,357196824184253769962874153218349576639715482475682391721938645593467218846521937
46,23,3.7,188,61...28...8..4..5...5..........8...1......4..192.......6....2.5...7...3.4...39..7,617352849389641752245978316534287961876195423192463578763814295958726134421539687
47,24,2.4,191,..9..5.8..3....6......74..97.6...9.5.15.97...2...6..3..8....1.....72...........9.,429635781837912654561874329746283915315497268298561437984356172153729846672148593
48,25,2.5,193,38...7.565....42.8..9.....36.5..............2.9.6.34...........24.13......1.9.8..,384927156567314298129865743675241389413789562892653417958472631246138975731596824
49,24,2.2,195,.57.9.....6.2.19..2.....5...4.96................4.8.6.8.5...6..7...4.31..2.1.....,157893246468251973239674581541967832682315497973428165815739624796542318324186759
50,23,2.3,200,.45.........2...39..81...7.....5.64.8...9...7.7......11..5.7.8......94....3......,345978162617245839928136574239751648851694327476823951194567283762389415583412796
51,23,3.6,203,..27.61.....1..6..4.......5..3.7..2..4.9...5......8...5...6..7...7....9.89......4,382756149975184632416293785163475928748912356259638417534869271627541893891327564
52,24,2.4,205,8.....4.2.3..2.6..5....8.....3..9....5.....1.6.9.3.....8..4.1.9..137...84........,817693452934725681562418397123859764758264913649137825386542179291376548475981236
53,24,2.6,206,.....13.7.9.......6....5..4..91.3....2.8..7.151.........26..8...3.....5.4....96..,245961387893742165671385924769123548324856791518497236952614873136278459487539612
54,26,2.6,209,3.......892..4..7...8.2.69.19.46...3.4...3..5.....9..68..75.....7.........2.3....,314697258926845371758321694195468723647213985283579146831752469479186532562934817
55,25,2.6,213,..3...7...2.9.7...5..2....89.......66....293....6..4...5..43.6.7.9.8..4........5.,493861725826957314571234698942318576685472931137695482258743169719586243364129857
56,26,2.5,214,.....4...8.6.32..9.3..698.......87..9..6..5....1.......45....6..8..2.....62.45..8,597184236816732459234569817623458791978613524451297683345871962789326145162945378
57,24,2.9,221,.4.........3.2.........59.1.8...9.3.129....8....7..4......7.69.6..31...22....8...,548197263913426758762835941487259136129643587356781429831572694695314872274968315
58,23,2.6,222,3..2..9......7.5.1......6..1...5...2..7..9..3.....3.4.983......2......98..5.3....,354216987698374521721895634139457862847629153562183749983762415276541398415938276
59,25,2.8,224,1.3....25.5......468.1......395.....5.....2.6....97......7.1.5.............2.9617,193476825752983164684125379439562781578314296261897543326741958917658432845239617
60,26,3.1,229,.2...9.4.3..4........25..9......8.6....64...3.59.138...7.....5...1.....9....67.32,528379641396481275417256398134928567782645913659713824873192456261534789945867132
61,27,2.4,230,....8.7.6..49...5...63....4.3..4.21..58.213.....56.....6.......183.....2....35...,395184726214976853876352194637849215458721369921563478562418937183697542749235681
62,23,3.5,232,........4....53.1...281.....4.9.2..5.3....7...78.6....1.....5.8.85....2......7...,913726854867453219452819637641972385539148762278365941196234578785691423324587196
63,24,2.9,234,...358....6.7......582..1...4....6..7..63......2..4.71.....2....79...4........93.,917358264264719583358246197143827659795631842682594371436982715579163428821475936
64,24,3.1,236,7....9.1.........642..5....5.6...24........9....23..5.....48...69...7..4.8..9.3..,763489512951723486428156739536971248247865193819234657372548961695317824184692375
65,23,2.2,240,6....2.....1...98....6.7....45...7..2..71....1...3.5....6.2..1.3...7......9.....4,638192457721543986594687123945268731263715849187934562476829315352471698819356274
66,24,2.3,242,4.3..6........9.3..8....15...56.13..61..9.8.4.....4...9.....6...32......1....7...,493516782571289436286743159845621397617395824329874561954132678732468915168957243
67,25,3.1,245,4..62....2..85...636..1......8....697..34...2............2..9.4.2...93.5.....5...,481623597297854136365917248538172469719346852642598713856231974124769385973485621
68,24,2.9,252,7..4...3..9..1.....4....2.9.....37.5..3.2..........16......795..79......8.5..6..4,721459836398612547546378219984163725163725498257984163632847951479531682815296374
69,24,2.3,257,.....3.2..5..8......84...617..56....8.....6.9..9..17..32...8.........3..9...1...7,697153428451286973238497561743569812812734659569821734324678195175942386986315247
70,22,2.9,264,.9.5.......4......3.8.2.6..8.6.7.42....9...87.....4........9..5...1....327.......,691538742724691538358427691816375429542916387937284156183749265469152873275863914
71,23,4.0,268,....51.4.5..29..3.....7......7.....823.....6..4978.....2.6...........6.1.7......4,763851942514296837892473156157362498238149765649785213421637589385924671976518324
72,24,3.7,269,..4..6...3...5.97.7.....56...567..32........1.614......3..8..2....9......27......,954736218316258974782149563495671832273895641861423795139587426648912357527364189
73,26,2.4,272,.....4.63724.....1......2...7..1...2...4......69.3...5....8....5.2..63.7.3...7.16,185274963724693851396158274473815692251469738869732145647381529512946387938527416
74,26,2.1,275,.....491..4......5..1.9..82.1.....2....9416..6.........8.2..15.7.5.....8....78.4.,372854916849126735561397482917635824258941673634782591483269157795413268126578349
75,24,2.7,276,...8.......9..1....8..5..3...2..8..4.......17.14.....9.9.....62...6378..1..9..7..,621843975539761428487259136972318654856492317314576289793184562245637891168925743
76,24,3.4,279,.6.8.2.....1...5.2......3...92..186.1...7.....8.3.......9....41...2.76.....4....5,763852914941763582825194376392541867156978423487326159239685741514237698678419235
77,24,2.6,280,2..8....1..56.........91..7.9..13....3.5.....7.2.6.....7.3..5......82.4...6....7.,247835691915627384368491257594213768631578429782964135879346512153782946426159873
78,24,2.2,283,...57.......1..8..715.6............4.5...6...68....1279...3..8...2.59.4.......2..,823574916496123875715968432379281654251746398684395127947632581162859743538417269
79,24,2.7,286,......8.....2.7.96...98...4..73...........4..3.1...9.86..5...1...5..6..72.9..4...,794653821813247596526981734487369152952718463361425978648572319135896247279134685
80,25,2.3,290,.....3.8...9........41.7.5..3..6.94.87......1.9..2..7...3..5.....8.7.3..2..4....7,657293184189546723324187659532761948876954231491328576763815492948672315215439867
81,23,3.2,296,.....1.76.........5...3..9..7.6.3.1...8.....79...4..6.7..9......4.....8.89..5..4.,389521476614879352527436198275693814468215937931748265753984621142367589896152743
82,24,2.1,297,1.54..2.....2387.......7...4....9...26.....79.....5..3.84.......2..7.9.6.......5.,175496238946238715832517694453789162268143579719625843684951327521374986397862451
83,25,3.7,298,.2.8....35...97.4...1..........4.9.78..........93.8..27..563...4.........654....8,924851673583697241671234859236145987847926315159378462798563124412789536365412798
84,23,3.2,300,.9.5.7.1.4....1..23...........6....428....9......237....91...8.73........1.....6.,892567413475381692361942578153679824287415936946823751629154387738296145514738269
85,24,4.7,304,1....4..2..27....49...5.7...9..21..8.6.....3...1..9........71..52...........3.62.,175964382682713594943852716397621458268475931451389267836297145529146873714538629
86,24,2.7,307,29.4.71.........276.1......4..1...6......8..9...6....4....5...6.4..2...39..8..7..,295467138384519627671382495439175862567248319128693574713954286846721953952836741
87,25,4.7,308,......1471......3...5.7.....6..2..1.2..73...8..8..9.....6.1.72..9.8...5....2..4..,683952147179684532425371896967428315214735968538169274846513729392847651751296483
88,22,2.6,315,...6..1....7....6.62...8.7..3..4..2.5..13....9.......6...8....9.8....4...5......8,395627184847391265621458973738946521564132897912785346273814659186579432459263718
89,22,3.0,316,........8..8....76.1..7.2.32........7...69......5...8....158.4...64....74........,572936418348215976619874253295781364784369521163542789937158642856423197421697835
90,23,2.5,322,.6..9.8....7..2.....5....7..34.....91...85..7.2.....4.....7..54...1........5..26.,263794815917852436845316972734621589196485327528937641689273154452168793371549268
91,24,2.1,323,.5.3...4......12..7......568..4.....43...6..9.......623.81............71.9..5..8.,159362748684571293723948156862419537435726819917835462378194625546283971291657384
92,26,3.9,327,.4....56.8......31..1.432....8.17...2...3..1......5...9.38...2.....9..8...4..6..7,347182569825769431691543278438617952259438716716925843963874125572391684184256397
93,24,3.1,328,....19.2.4...2..6...93....7...2.3...17......9....9.3.4.96...83..5.6.............1,637419528418527963529386147984253716173864259265791384796142835351678492842935671
94,25,2.9,330,...8.6.....8....5113..2...4..4..839....64...7.1.......569..4.7..73.5.............,745816239928437651136529784654178392392645817817392546569284173273951468481763925
95,25,2.3,331,..59....2.......653...5.7.....6.74...31...........1.....3..56..6....8..17.2.6.8.3,175946382249783165386152794528637419931824576467591238893215647654378921712469853
96,22,3.0,334,...384...34.7...1....6....5........1....38.2..6....74..26..........1....4.7...2..,651384972342795816798621435284976351175438629963152748526843197839217564417569283
97,25,2.4,338,...28...7..6..783.......6.4...3...46.8.6.......9......42...319...39.2......1..2..,341286957596417832872539614215398746784651329639724581427863195153972468968145273
98,25,2.5,339,.2.............74.7..6...15347.5.8..2.98...........9..8..5..6......7...36.3..9..7,421795368536128749798634215347951826269847531185362974874513692952476183613289457
99,24,2.9,342,..4.3.6....2.......6..218..9...83....2.4...........985........1....48.53..52.7...,184539627732864519569721834957683142821495376643172985478356291216948753395217468
